"datum";"okres";"orp";"pohlavi";"vek_kat";"pocet_pozitivni";"pocet_vyleceni";"pocet_zemreli";"pocet_umrti_hospitalizace";"pocet_umrti_komplikovany"
"2020-03-28";"CZ0100";"0";"M";"65+";"6";"";"1";"1";"1"
"2020-03-29";"CZ0423";"4205";"M";"65+";"1";"";"1";"1";"0"
"2020-04-02";"CZ0644";"6404";"M";"20-64";"";"";"1";"1";"0"
"2020-04-03";"CZ0423";"4208";"Z";"65+";"1";"";"1";"1";"1"
"2020-04-04";"CZ0100";"0";"M";"65+";"2";"1";"1";"0";"0"
"2020-04-06";"CZ0100";"0";"M";"65+";"4";"2";"1";"1";"0"
"2020-04-07";"CZ0100";"0";"Z";"65+";"14";"1";"1";"1";"1"
"2020-04-09";"CZ0203";"2009";"Z";"65+";"";"";"1";"1";"0"
"2020-04-10";"CZ0203";"2024";"M";"65+";"";"";"1";"0";"0"
"2020-04-13";"CZ020A";"2005";"M";"65+";"1";"";"1";"1";"0"
"2020-04-14";"CZ0100";"0";"Z";"65+";"1";"11";"2";"1";"0"
"2020-04-26";"CZ0411";"4105";"M";"65+";"9";"";"1";"0";"0"
"2020-04-30";"CZ0714";"7101";"M";"20-64";"";"";"1";"1";"1"
"2020-05-01";"CZ0411";"4102";"Z";"65+";"1";"";"1";"1";"1"
"2020-05-06";"CZ0804";"8001";"Z";"65+";"";"";"1";"1";"0"
"2020-05-09";"CZ0100";"0";"Z";"65+";"3";"1";"1";"1";"0"
"2020-05-15";"CZ0802";"8006";"M";"65+";"";"";"1";"1";"1"
"2020-05-21";"CZ0422";"4203";"M";"65+";"";"";"1";"1";"1"
"2020-06-01";"CZ0643";"6413";"M";"65+";"";"";"1";"1";"1"
"2020-06-03";"CZ0643";"6413";"M";"65+";"";"";"1";"1";"1"
"2020-06-19";"CZ0512";"5103";"M";"65+";"";"";"1";"0";"1"
"2020-06-21";"CZ0100";"0";"Z";"65+";"";"";"1";"1";"0"
"2020-06-27";"CZ0712";"7105";"M";"65+";"";"";"1";"0";"0"
"2020-07-04";"CZ0100";"0";"M";"65+";"";"";"1";"1";"1"
"2020-07-06";"CZ0100";"0";"M";"65+";"";"";"1";"1";"0"
"2020-07-21";"CZ0803";"8002";"Z";"65+";"";"";"1";"0";"0"
"2020-07-21";"CZ0803";"8008";"Z";"65+";"1";"1";"1";"1";"1"
"2020-07-23";"CZ0803";"8008";"Z";"65+";"3";"1";"1";"1";"1"
"2020-07-24";"CZ0804";"8001";"M";"65+";"";"";"1";"1";"1"
"2020-07-28";"CZ0632";"6305";"Z";"65+";"1";"";"1";"0";"0"
"2020-07-29";"CZ0802";"8010";"Z";"20-64";"";"";"1";"0";"0"
"2020-07-31";"CZ0712";"7107";"Z";"65+";"";"";"1";"1";"1"
"2020-07-31";"CZ0802";"8006";"M";"65+";"";"1";"1";"1";"0"
"2020-08-01";"CZ0802";"8006";"Z";"65+";"";"2";"1";"1";"1"
"2020-08-03";"CZ020A";"2005";"Z";"65+";"";"";"1";"1";"1"
"2020-08-04";"CZ0722";"7208";"Z";"65+";"";"";"1";"0";"0"
"2020-08-16";"CZ0100";"0";"M";"65+";"1";"1";"1";"1";"0"
"2020-08-17";"CZ0806";"8019";"Z";"20-64";"";"1";"1";"1";"1"
"2020-09-07";"CZ0633";"6303";"Z";"65+";"1";"";"1";"0";"0"
"2020-09-08";"CZ0311";"9999";"M";"65+";"";"";"1";"1";"1"
"2020-09-12";"CZ0100";"0";"M";"65+";"11";"3";"1";"1";"0"
"2020-09-15";"CZ0532";"5303";"M";"65+";"1";"";"1";"0";"0"
"2020-09-17";"CZ0100";"0";"M";"65+";"31";"1";"3";"3";"1"
"2020-09-17";"CZ0646";"6405";"Z";"65+";"";"";"1";"1";"1"
"2020-09-18";"CZ0207";"2015";"Z";"65+";"2";"";"1";"1";"1"
"2020-09-19";"CZ0534";"5313";"M";"20-64";"1";"";"1";"1";"1"
"2020-09-20";"CZ0207";"2015";"Z";"65+";"7";"1";"1";"1";"1"
