datum;okres;orp;pohlavi;vek_kat;pocet_pozitivni;pocet_vyleceni;pocet_zemreli;pocet_umrti_hospitalizace;pocet_umrti_komplikovany
2020-03-30;CZ0805;8009;Z;65+;;;1;1;1
2020-04-05;CZ0712;7105;M;20-64;;;1;1;0
2020-04-09;CZ0206;2011;M;65+;;1;1;1;1
2020-04-10;CZ0100;0;M;20-64;14;18;1;0;0
2020-04-17;CZ0411;4102;Z;65+;;;2;2;1
2020-04-17;CZ0411;4105;Z;65+;;;1;1;0
2020-04-17;CZ0806;8019;Z;65+;11;;2;2;2
2020-04-22;CZ0712;7107;M;65+;;;1;0;1
2020-04-26;CZ0315;3109;M;65+;;;1;1;1
2020-04-28;CZ0324;3201;M;65+;;;1;1;1
2020-05-03;CZ0100;0;M;65+;;;1;1;0
2020-05-04;CZ0100;0;M;65+;;3;1;0;0
2020-05-08;CZ0411;4105;M;65+;;;2;2;1
2020-05-08;CZ0806;8019;M;65+;;1;1;1;1
2020-05-12;CZ0411;4105;M;65+;;;2;1;1
2020-05-19;CZ0532;5309;M;65+;;;1;1;1
2020-05-20;CZ0411;4105;Z;65+;;1;2;0;0
2020-06-16;CZ0803;8002;M;65+;;;1;1;1
2020-06-17;CZ0712;7105;Z;65+;;;1;1;0
2020-06-22;CZ0802;8006;M;65+;;;1;1;1
2020-06-30;CZ0802;8021;M;65+;;;1;1;1
2020-07-05;CZ0100;0;Z;65+;;1;2;2;2
2020-08-17;CZ0322;3203;Z;65+;;;1;1;0
2020-08-23;CZ0207;2015;Z;65+;;;1;0;0
2020-09-05;CZ0645;6406;Z;65+;;;1;1;1
2020-09-08;CZ0311;3102;M;65+;;1;1;0;0
2020-09-13;CZ0100;0;M;65+;11;2;2;2;0
2020-09-16;CZ0531;5304;Z;65+;2;1;1;1;1
2020-09-19;CZ0642;6403;M;65+;5;;1;1;1
2020-09-23;CZ0645;6410;M;65+;1;1;2;2;2
2020-09-23;CZ0806;8019;Z;20-64;14;7;1;1;1
2020-09-24;CZ0100;0;Z;65+;24;5;1;1;1
2020-09-25;CZ0100;0;Z;65+;22;12;2;1;0
2020-09-26;CZ0412;4103;M;65+;1;;1;1;0
2020-09-26;CZ0412;4106;M;65+;;;1;1;0
2020-09-29;CZ0413;4107;M;20-64;;4;1;1;0
2020-09-29;CZ0427;4214;Z;65+;;;1;1;0
2020-09-29;CZ0806;8019;Z;65+;3;1;1;0;1
2020-09-30;CZ0100;0;M;65+;23;10;1;1;1
2020-09-30;CZ0317;3112;M;65+;2;;1;1;1
2020-10-01;CZ0427;4214;M;65+;1;;1;1;1
2020-10-03;CZ0806;8019;Z;65+;16;1;1;1;0
2020-10-04;CZ0427;4214;M;65+;;1;1;1;1
2020-10-05;CZ0411;4102;M;65+;2;3;2;1;1
2020-10-05;CZ0723;7210;M;65+;;;1;1;1
2020-10-06;CZ0208;2013;M;65+;1;;1;0;0
2020-10-06;CZ0632;6312;M;65+;;1;1;1;1
2020-10-06;CZ0633;6310;M;65+;4;1;1;1;1
2020-10-06;CZ0635;6301;M;65+;;1;1;1;0
2020-10-06;CZ0642;6403;M;65+;11;2;1;1;0
2020-10-07;CZ0204;2010;Z;65+;6;;1;1;0
2020-10-07;CZ0206;2017;M;20-64;2;;1;1;1
2020-10-07;CZ0208;2013;M;65+;;;1;1;1
2020-10-07;CZ0521;5205;M;65+;2;2;1;1;1
2020-10-07;CZ0523;5211;M;65+;;1;1;1;1
2020-10-07;CZ0634;6313;M;65+;4;;1;1;1
2020-10-07;CZ0801;8003;Z;65+;;;3;3;1
2020-10-09;CZ0100;0;M;20-64;506;121;1;1;0
2020-10-09;CZ0207;2015;Z;65+;3;;3;3;0
2020-10-09;CZ0423;4205;M;65+;2;1;1;1;1
2020-10-10;CZ0645;6410;M;65+;2;;1;0;0
2020-10-11;CZ020A;2005;M;20-64;17;20;1;1;1
2020-10-11;CZ0643;6416;M;65+;;3;1;1;1
2020-10-11;CZ0645;6410;M;65+;4;3;1;1;0
2020-10-12;CZ0100;0;Z;65+;63;29;4;4;2
2020-10-12;CZ0323;3209;Z;20-64;33;30;1;1;1
2020-10-12;CZ0423;4211;M;65+;2;3;1;1;1
2020-10-12;CZ0523;5209;Z;65+;6;7;2;2;0
2020-10-12;CZ0633;6310;Z;20-64;19;14;1;1;1
2020-10-12;CZ0647;6420;M;65+;2;2;1;1;1
2020-10-13;CZ0201;2026;Z;65+;1;1;1;1;0
2020-10-13;CZ0208;2018;M;65+;4;;1;1;1
2020-10-13;CZ0317;3112;Z;65+;8;;1;1;1
2020-10-13;CZ0513;5105;M;65+;8;3;1;1;1
2020-10-13;CZ0721;7203;M;65+;6;;1;1;1
2020-10-13;CZ0803;8008;M;65+;2;3;1;1;1
2020-10-14;CZ0421;4215;M;65+;1;;1;0;0
2020-10-14;CZ0523;5209;M;65+;3;1;1;1;0
2020-10-14;CZ0803;8018;M;65+;2;1;1;0;0
2020-10-14;CZ0805;8013;Z;65+;3;;2;1;1
2020-10-15;CZ0204;2006;M;65+;;;1;1;0
2020-10-16;CZ0209;2022;M;65+;4;;1;1;0
2020-10-16;CZ0312;3103;Z;65+;1;;1;1;1
2020-10-16;CZ0314;3108;M;65+;2;2;1;1;1
2020-10-16;CZ0324;3212;Z;65+;2;;1;1;0
2020-10-16;CZ0411;4102;Z;65+;;3;1;1;1
2020-10-18;CZ0209;9999;Z;65+;;;1;1;1
2020-10-18;CZ0427;4214;M;65+;4;1;2;2;0
2020-10-18;CZ0531;5304;M;20-64;6;9;1;0;0
2020-10-18;CZ0642;6403;Z;65+;9;14;1;1;1
2020-10-18;CZ0644;6404;Z;65+;;1;1;1;1
2020-10-19;CZ0205;2004;Z;65+;2;;1;0;0
2020-10-19;CZ0321;3202;M;65+;4;1;1;1;1
2020-10-19;CZ0424;4207;M;65+;;;1;0;0
2020-10-19;CZ0533;5310;Z;65+;2;2;1;1;1
2020-10-19;CZ0642;6403;Z;65+;43;21;1;1;1
2020-10-19;CZ0715;7111;Z;65+;2;2;1;1;0
2020-10-19;CZ0724;7213;M;65+;6;1;2;2;1
2020-10-19;CZ0802;8006;M;65+;4;2;1;1;1
2020-10-21;CZ020C;2021;M;65+;6;;2;2;2
2020-10-21;CZ0523;5211;M;65+;1;;1;1;1
2020-10-21;CZ0647;6420;M;20-64;15;;1;1;1
2020-10-22;CZ0411;4102;M;65+;1;2;1;1;0
2020-10-22;CZ0634;6313;Z;65+;1;6;1;1;1
2020-10-22;CZ0723;7210;M;65+;8;2;1;1;0
2020-10-22;CZ0805;8009;M;65+;7;;1;1;0
2020-10-22;CZ0806;8019;M;65+;19;3;2;2;1
