"datum_vysledku";"okres";"orp";"pohlavi";"vek_kat";"pocet_pozitivni_primarni";"pocet_testu_u_pozitivnich";"pocet_opakovanych"
"2020-07-26";"CZ0202";"Ho¯ovice";"Z";"20-64";"1";"1";"0"
"2020-06-15";"CZ0647";"Znojmo";"Z";"20-64";"";"2";""
"2020-09-12";"CZ0207";"Mnichovo HradiötÏ";"Z";"0-19";"";"2";""
"2020-09-07";"CZ0317";"SobÏslav";"M";"0-19";"2";"3";"1"
"2020-10-01";"CZ0205";"Kutn· Hora";"Z";"20-64";"7";"14";"7"
"2020-09-25";"CZ0646";"Vyökov";"Z";"65+";"1";"4";"3"
"2020-03-18";"CZ0209";"Brand˝s n.L.- St.Boleslav";"Z";"20-64";"";"1";""
"2020-09-30";"CZ0634";"N·mÏöù nad Oslavou";"Z";"20-64";"";"2";""
"2020-07-24";"CZ020A";"»ernoöice";"M";"20-64";"1";"3";"2"
"2020-09-16";"CZ0313";"Jind¯ich˘v Hradec";"M";"20-64";"";"1";""
"2020-04-28";"CZ0712";"Olomouc";"M";"20-64";"";"12";""
"2020-09-06";"CZ0423";"Lovosice";"M";"20-64";"";"1";""
"2020-09-09";"CZ0324";"N/A";"M";"20-64";"1";"1";"0"
"2020-10-09";"CZ0633";"Humpolec";"Z";"65+";"2";"1";"-1"
"2020-09-22";"CZ0323";"PlzeÚ";"M";"0-19";"2";"8";"6"
"2020-09-27";"CZ0100";"Praha";"M";"65+";"10";"33";"23"
"2020-09-15";"CZ0534";"»esk· T¯ebov·";"M";"20-64";"1";"2";"1"
"2020-09-15";"CZ0324";"P¯eötice";"M";"20-64";"2";"2";"0"
"2020-09-19";"CZ0311";"»eskÈ BudÏjovice";"M";"65+";"3";"6";"3"
"2020-10-04";"CZ0634";"MoravskÈ BudÏjovice";"M";"0-19";"";"1";""
"2020-03-31";"CZ020A";"»ernoöice";"M";"65+";"1";"2";"1"
"2020-09-04";"CZ0203";"Slan˝";"M";"20-64";"2";"4";"2"
"2020-10-01";"CZ0427";"⁄stÌ nad Labem";"M";"20-64";"9";"21";"12"
"2020-09-19";"CZ0724";"ZlÌn";"Z";"20-64";"2";"4";"2"
"2020-08-12";"CZ0805";"Krava¯e";"M";"20-64";"1";"2";"1"
"2020-10-03";"CZ0804";"BÌlovec";"M";"20-64";"4";"9";"5"
"2020-10-12";"CZ0534";"VysokÈ M˝to";"M";"0-19";"2";"4";"2"
"2020-09-09";"CZ0206";"Kralupy nad Vltavou";"M";"0-19";"";"4";""
"2020-06-04";"CZ0525";"Trutnov";"Z";"0-19";"";"2";""
"2020-05-06";"CZ0631";"HavlÌËk˘v Brod";"M";"0-19";"";"1";""
"2020-08-31";"CZ0421";"Varnsdorf";"M";"20-64";"";"3";""
"2020-05-13";"CZ0631";"SvÏtl· nad S·zavou";"Z";"20-64";"";"2";""
"2020-05-11";"CZ0722";"UherskÈ HradiötÏ";"M";"20-64";"";"2";""
"2020-10-07";"CZ0711";"JesenÌk";"M";"0-19";"3";"6";"3"
"2020-04-17";"CZ0411";"Cheb";"Z";"0-19";"";"1";""
"2020-04-22";"CZ0323";"PlzeÚ";"Z";"20-64";"";"3";""
"2020-09-26";"CZ0804";"BÌlovec";"M";"20-64";"";"1";""
"2020-04-28";"CZ0634";"T¯ebÌË";"Z";"20-64";"";"4";""
"2020-06-10";"CZ0722";"UherskÈ HradiötÏ";"Z";"20-64";"";"1";""
"2020-08-18";"CZ0100";"Praha";"Z";"0-19";"4";"5";"1"
"2020-04-28";"CZ0642";"Brno";"M";"65+";"";"8";""
"2020-07-23";"CZ0203";"Kladno";"Z";"20-64";"1";"3";"2"
"2020-05-12";"CZ0202";"Ho¯ovice";"M";"65+";"";"1";""
"2020-08-20";"CZ0724";"ZlÌn";"M";"20-64";"1";"3";"2"
"2020-09-21";"CZ0316";"Strakonice";"M";"0-19";"";"2";""
"2020-10-07";"CZ0522";"JiËÌn";"Z";"20-64";"4";"15";"11"
"2020-09-14";"CZ0722";"UherskÈ HradiötÏ";"M";"0-19";"";"2";""
"2020-10-04";"CZ0803";"Karvin·";"Z";"20-64";"5";"2";"-3"
"2020-05-02";"CZ0712";"äternberk";"Z";"20-64";"";"7";""
"2020-04-01";"CZ0207";"Mlad· Boleslav";"M";"20-64";"1";"6";"5"
"2020-09-29";"CZ0421";"Rumburk";"M";"20-64";"1";"2";"1"
"2020-04-19";"CZ0724";"LuhaËovice";"Z";"0-19";"";"2";""
"2020-05-27";"CZ0641";"Blansko";"M";"20-64";"";"1";""
"2020-10-07";"CZ0207";"Mlad· Boleslav";"M";"20-64";"33";"54";"21"
"2020-05-28";"CZ0411";"Cheb";"Z";"65+";"";"3";""
"2020-08-06";"CZ0411";"Mari·nskÈ L·znÏ";"M";"20-64";"1";"3";"2"
"2020-04-24";"CZ0644";"B¯eclav";"M";"65+";"1";"8";"7"
"2020-04-13";"CZ0513";"Liberec";"Z";"20-64";"1";"8";"7"
"2020-04-12";"CZ0802";"Fr˝dek-MÌstek";"M";"20-64";"2";"14";"12"
"2020-09-19";"CZ0534";"⁄stÌ nad OrlicÌ";"M";"0-19";"1";"2";"1"
"2020-05-26";"CZ0523";"N·chod";"M";"20-64";"";"1";""
"2020-04-23";"CZ0523";"N·chod";"M";"65+";"";"1";""
"2020-09-24";"CZ0644";"B¯eclav";"Z";"0-19";"2";"4";"2"
"2020-09-10";"CZ0804";"Odry";"Z";"0-19";"1";"2";"1"
"2020-09-12";"CZ0534";"»esk· T¯ebov·";"Z";"65+";"1";"3";"2"
"2020-04-26";"";"";"";"";"";"8";""
"2020-10-10";"CZ0203";"Slan˝";"M";"20-64";"5";"10";"5"
"2020-09-18";"CZ0412";"Ostrov";"Z";"0-19";"";"1";""
"2020-04-30";"CZ0646";"Vyökov";"Z";"20-64";"1";"4";"3"
"2020-05-22";"CZ0803";"»esk˝ TÏöÌn";"M";"65+";"";"2";""
"2020-06-05";"CZ0642";"Brno";"M";"20-64";"2";"16";"14"
"2020-06-13";"CZ0643";"Rosice";"M";"0-19";"1";"2";"1"
"2020-06-21";"CZ0513";"N/A";"Z";"20-64";"";"1";""
"2020-05-14";"CZ0311";"»eskÈ BudÏjovice";"M";"20-64";"";"1";""
"2020-08-27";"CZ0423";"LitomÏ¯ice";"M";"20-64";"1";"2";"1"
"2020-08-22";"CZ0427";"⁄stÌ nad Labem";"Z";"65+";"";"1";""
"2020-07-24";"CZ0523";"N·chod";"Z";"0-19";"1";"2";"1"
"2020-05-14";"CZ0711";"JesenÌk";"Z";"20-64";"";"2";""
"2020-04-30";"CZ0523";"Broumov";"Z";"20-64";"";"2";""
"2020-09-04";"CZ0523";"N·chod";"M";"0-19";"1";"2";"1"
"2020-09-27";"CZ0412";"Ostrov";"M";"0-19";"1";"1";"0"
"2020-06-21";"CZ0513";"Liberec";"M";"20-64";"4";"26";"22"
"2020-08-08";"CZ0322";"HoraûÔovice";"Z";"20-64";"3";"5";"2"
"2020-09-05";"CZ0532";"P¯elouË";"M";"20-64";"2";"4";"2"
"2020-07-18";"CZ0806";"Ostrava";"Z";"0-19";"1";"4";"3"
"2020-05-01";"CZ0712";"äternberk";"M";"0-19";"";"4";""
"2020-03-28";"CZ0714";"P¯erov";"Z";"20-64";"1";"4";"3"
"2020-09-19";"CZ0523";"NovÈ MÏsto nad MetujÌ";"Z";"65+";"1";"2";"1"
"2020-09-13";"CZ0204";"»esk˝ Brod";"M";"20-64";"";"1";""
"2020-09-19";"CZ0512";"Jablonec nad Nisou";"M";"20-64";"2";"4";"2"
"2020-08-18";"CZ0311";"»eskÈ BudÏjovice";"M";"20-64";"";"1";""
"2020-09-29";"CZ0722";"Uhersk˝ Brod";"M";"0-19";"3";"6";"3"
"2020-08-06";"CZ0803";"Karvin·";"M";"20-64";"2";"5";"3"
"2020-09-22";"CZ0803";"HavÌ¯ov";"M";"65+";"1";"2";"1"
"2020-05-30";"CZ0206";"Neratovice";"M";"20-64";"1";"6";"5"
"2020-09-03";"CZ0806";"Ostrava";"M";"65+";"1";"5";"4"
"2020-09-23";"CZ0422";"Chomutov";"M";"20-64";"1";"2";"1"
"2020-09-25";"CZ0711";"JesenÌk";"M";"65+";"3";"6";"3"
"2020-07-25";"CZ0647";"Znojmo";"M";"20-64";"";"2";""
"2020-05-25";"CZ0411";"Aö";"Z";"65+";"";"1";""
"2020-08-28";"CZ0413";"Sokolov";"M";"20-64";"1";"5";"4"
"2020-08-08";"CZ0645";"Kyjov";"Z";"20-64";"";"1";""
"2020-09-22";"CZ0643";"Tiönov";"M";"65+";"1";"2";"1"
"2020-10-08";"CZ0712";"UniËov";"M";"20-64";"1";"4";"3"
"2020-04-22";"CZ0802";"Fr˝dek-MÌstek";"M";"65+";"";"3";""
"2020-09-15";"CZ0714";"LipnÌk nad BeËvou";"Z";"20-64";"2";"4";"2"
"2020-09-09";"CZ0209";"Brand˝s n.L.- St.Boleslav";"M";"20-64";"7";"10";"3"
"2020-04-21";"CZ0712";"Litovel";"M";"65+";"1";"4";"3"
"2020-05-12";"CZ0202";"Ho¯ovice";"M";"0-19";"";"1";""
"2020-08-25";"CZ0631";"HavlÌËk˘v Brod";"M";"20-64";"1";"2";"1"
"2020-06-22";"CZ0413";"Sokolov";"M";"0-19";"";"2";""
"2020-10-12";"CZ0208";"N/A";"M";"20-64";"4";"4";"0"
"2020-09-18";"CZ0204";"KolÌn";"Z";"65+";"2";"2";"0"
"2020-03-23";"CZ0635";"Byst¯ice nad Pernötejnem";"Z";"20-64";"1";"2";"1"
"2020-10-12";"CZ0521";"N/A";"Z";"20-64";"4";"4";"0"
"2020-03-26";"CZ0412";"Karlovy Vary";"Z";"65+";"";"2";""
"2020-05-30";"CZ0426";"Teplice";"Z";"20-64";"";"1";""
"2020-08-21";"CZ0525";"Trutnov";"M";"20-64";"";"2";""
"2020-06-08";"CZ0312";"»esk˝ Krumlov";"Z";"20-64";"";"1";""
"2020-04-18";"CZ0643";"éidlochovice";"M";"65+";"";"1";""
"2020-04-09";"CZ0723";"ValaöskÈ Mezi¯ÌËÌ";"Z";"65+";"1";"2";"1"
"2020-07-13";"CZ0531";"Chrudim";"Z";"20-64";"";"1";""
"2020-05-18";"CZ0322";"Suöice";"Z";"20-64";"";"1";""
"2020-08-29";"CZ0412";"Karlovy Vary";"M";"65+";"1";"2";"1"
"2020-04-02";"CZ0634";"T¯ebÌË";"Z";"65+";"";"3";""
"2020-10-10";"CZ0514";"Turnov";"M";"0-19";"1";"2";"1"
"2020-09-23";"CZ0325";"Kralovice";"M";"65+";"";"2";""
"2020-09-25";"CZ0204";"KolÌn";"Z";"0-19";"1";"6";"5"
"2020-06-03";"CZ0426";"BÌlina";"M";"65+";"";"2";""
"2020-09-24";"CZ0312";"Kaplice";"Z";"20-64";"4";"8";"4"
"2020-09-04";"CZ0514";"Semily";"M";"20-64";"";"1";""
"2020-09-24";"CZ0801";"Brunt·l";"Z";"0-19";"4";"10";"6"
"2020-09-24";"CZ0721";"Holeöov";"M";"0-19";"1";"2";"1"
"2020-09-19";"CZ0201";"Vlaöim";"Z";"0-19";"2";"4";"2"
"2020-10-09";"CZ0532";"Holice";"Z";"20-64";"9";"16";"7"
"2020-09-10";"CZ0423";"Roudnice nad Labem";"M";"0-19";"";"1";""
"2020-03-27";"CZ0643";"Poho¯elice";"Z";"20-64";"1";"3";"2"
"2020-09-30";"CZ0202";"Beroun";"M";"0-19";"2";"4";"2"
"2020-03-27";"CZ0209";"Brand˝s n.L.- St.Boleslav";"M";"20-64";"3";"9";"6"
"2020-04-07";"CZ0722";"Uhersk˝ Brod";"Z";"20-64";"";"13";""
"2020-04-08";"CZ0514";"Semily";"M";"20-64";"1";"5";"4"
"2020-09-25";"CZ0534";"⁄stÌ nad OrlicÌ";"Z";"0-19";"3";"7";"4"
"2020-06-10";"CZ0100";"Praha";"M";"20-64";"9";"146";"137"
"2020-05-01";"CZ0322";"Suöice";"Z";"20-64";"";"1";""
"2020-06-24";"CZ0100";"Praha";"Z";"20-64";"7";"65";"58"
"2020-08-25";"CZ0722";"UherskÈ HradiötÏ";"M";"65+";"";"2";""
"2020-09-03";"CZ0521";"Hradec Kr·lovÈ";"Z";"20-64";"4";"20";"16"
"2020-09-22";"CZ0427";"⁄stÌ nad Labem";"Z";"20-64";"10";"26";"16"
"2020-04-10";"CZ0521";"Hradec Kr·lovÈ";"M";"20-64";"1";"5";"4"
"2020-09-09";"CZ099Y";"N/A";"M";"20-64";"7";"8";"1"
"2020-07-08";"CZ0803";"Orlov·";"M";"20-64";"2";"11";"9"
"2020-04-27";"CZ0642";"Brno";"Z";"65+";"";"55";""
"2020-07-24";"CZ0205";"Kutn· Hora";"M";"20-64";"";"2";""
"2020-09-02";"CZ0206";"Neratovice";"Z";"20-64";"";"5";""
"2020-05-13";"CZ0722";"Uhersk˝ Brod";"Z";"0-19";"";"2";""
"2020-10-12";"CZ0522";"Ho¯ice";"Z";"65+";"1";"2";"1"
"2020-09-19";"CZ0715";"äumperk";"Z";"20-64";"1";"2";"1"
"2020-10-09";"CZ0422";"KadaÚ";"Z";"20-64";"4";"8";"4"
"2020-08-31";"CZ0323";"N/A";"M";"20-64";"";"1";""
"2020-09-01";"CZ0100";"Praha";"M";"65+";"4";"9";"5"
"2020-09-29";"CZ0722";"Uhersk˝ Brod";"M";"65+";"1";"2";"1"
"2020-08-27";"CZ0533";"PoliËka";"M";"0-19";"1";"2";"1"
"2020-10-05";"CZ0100";"Praha";"Z";"20-64";"183";"422";"239"
"2020-09-29";"CZ0647";"Znojmo";"Z";"20-64";"7";"15";"8"
"2020-04-15";"CZ0514";"Turnov";"Z";"20-64";"";"2";""
"2020-04-26";"CZ0712";"Litovel";"M";"65+";"";"4";""
"2020-04-15";"CZ0712";"Olomouc";"Z";"65+";"1";"4";"3"
"2020-04-16";"CZ0523";"N·chod";"Z";"0-19";"";"3";""
"2020-08-28";"CZ0722";"UherskÈ HradiötÏ";"M";"65+";"1";"2";"1"
"2020-06-03";"CZ0322";"HoraûÔovice";"M";"20-64";"";"1";""
"2020-09-08";"CZ0642";"Brno";"Z";"20-64";"14";"35";"21"
"2020-08-22";"CZ0722";"Uhersk˝ Brod";"Z";"20-64";"1";"2";"1"
"2020-04-16";"";"";"";"";"";"23";""
"2020-09-07";"CZ0635";"éÔ·r nad S·zavou";"Z";"0-19";"1";"2";"1"
"2020-09-09";"CZ0203";"Kladno";"Z";"0-19";"3";"25";"22"
"2020-09-22";"CZ0413";"Sokolov";"Z";"0-19";"1";"2";"1"
"2020-10-06";"CZ0533";"Moravsk· T¯ebov·";"M";"20-64";"";"2";""
"2020-04-13";"CZ0722";"UherskÈ HradiötÏ";"Z";"20-64";"";"2";""
"2020-07-23";"CZ0205";"»·slav";"Z";"20-64";"";"2";""
"2020-09-04";"CZ0316";"Strakonice";"M";"0-19";"1";"7";"6"
"2020-05-15";"CZ0712";"Olomouc";"M";"20-64";"";"5";""
"2020-04-07";"CZ0714";"Hranice";"Z";"20-64";"1";"2";"1"
"2020-05-11";"CZ0724";"ZlÌn";"M";"20-64";"1";"2";"1"
"2020-09-30";"CZ0205";"Kutn· Hora";"M";"65+";"1";"2";"1"
"2020-06-10";"CZ0803";"Orlov·";"M";"0-19";"";"1";""
"2020-08-03";"CZ0805";"HluËÌn";"M";"20-64";"";"2";""
"2020-09-18";"CZ0323";"N/A";"Z";"0-19";"";"1";""
"2020-07-11";"CZ0100";"Praha";"Z";"65+";"";"2";""
"2020-04-08";"CZ0524";"Dobruöka";"Z";"20-64";"1";"2";"1"
"2020-06-10";"CZ099Y";"N/A";"Z";"20-64";"2";"1";"-1"
"2020-08-24";"CZ0722";"UherskÈ HradiötÏ";"Z";"0-19";"";"2";""
"2020-03-17";"CZ0311";"»eskÈ BudÏjovice";"M";"20-64";"";"4";""
"2020-06-09";"CZ0712";"Litovel";"Z";"65+";"";"11";""
"2020-10-08";"CZ0208";"Nymburk";"M";"0-19";"1";"4";"3"
"2020-10-05";"CZ0327";"Tachov";"Z";"65+";"2";"4";"2"
"2020-10-10";"CZ0534";"Lanökroun";"M";"20-64";"4";"8";"4"
"2020-09-10";"CZ0513";"Fr˝dlant";"Z";"0-19";"1";"2";"1"
"2020-04-22";"CZ0712";"UniËov";"M";"65+";"";"2";""
"2020-08-27";"CZ0207";"Mlad· Boleslav";"M";"0-19";"";"1";""
"2020-04-17";"CZ0411";"Mari·nskÈ L·znÏ";"M";"0-19";"";"1";""
"2020-04-11";"CZ0423";"LitomÏ¯ice";"Z";"0-19";"3";"3";"0"
"2020-07-14";"CZ099Y";"N/A";"Z";"20-64";"";"1";""
"2020-05-08";"CZ0427";"⁄stÌ nad Labem";"Z";"20-64";"";"1";""
